Source Text (EN),Generated Translation (FR),Reference Translation (FR),BLEU Score
The time now is 05:08 .,The time now is 05:05 .,05:08,0.0
This Regulation shall enter into force on the seventh day following its publication in the Official Journal of the European Union.,Le présent règlement entre en vigueur le septième jour suivant celui de sa publication au Journal officiel de l'Union européenne.,La présente réglementation entre en vigueur le sixième jour après sa publication dans le Journal Officiel de l'Union européenne.,26.227164390524415
"Hello, what's that?",Qu'est-ce que c'est que ça ?,Je ne sais pas quoi faire.,0.0
And then I will teach you everything i know.,"Et alors, je t'apprendrai tout ce que je sais.",Je suis prêt.,2.7757915716335906
Did you find something?,Par ici !,Je n'ai pas trouvé de réponse.,0.0
Article 6,Article 6,Article 6,0.0
"Oh, honey, it's not your fault.",- Tu n'es pas responsable.,Je suis désolé(e).,6.567274736060395
I'm onto him now.,Je le tiens.,Je suis sur le point de le découvrir.,6.27465531099474
"DG XVI's Internet site (electronic address: http://www.cec.lu/en/comm/dg16/dg16home.html) now contains detailed information in English on pilot projects on innovation, the Information society, new sources of employment and cultural cooperation; the application forms for these innovatory measures can be downloaded in all languages of the European Union.","Par ailleurs, le site Internet de la DG XVI (adresse électronique: http://www.cec.lu/en/comm/dg16/dg16home.html) contient désormais une information détaillée en anglais sur les projets pilotes relatifs à la promotion de l'innovation, à la société de l'information, aux nouveaux gisements d'emploi et à la coopération culturelle; et il permet de décharger les formulaires d'inscription pour ces actions novatrices dans toutes les langues de l'Union européenne.","Le site Internet de DG XVI (adresse électronique : http://www.cec.lu/en/comm/dg16/dg16home.html) contient des informations détaillées en anglais sur les projets de pilotage, la société de l'information, les ressources nouvelles d'emploi et de coopération culturelle; les formulaires de ces mesures innovantes peuvent être téléchargés dans toutes les langues de l'Union européenne.",49.50403232769864
Here it is.,Le voilà.,I'm ready to translate. Please provide the text.,4.196114906296549
"Steven, why don't you read it?","Steven, pourquoi ne le lis-tu pas ?",Je ne peux pas le faire.,7.492442692259767
Western European and Other States Group (monthly meeting),Groupe des États d'Europe occidentale et autres États (réunion mensuelle),Groupe des États de l'Europe occidentale et d'autres (Réunion de la semaine de la semaine),11.64394847706997
I'll take care of the kids.,Je m'occuperai des enfants.,Je vais prendre soin des enfants.,26.269098944241588
Oh shit!,Oh putain !,"Je suis désolé, mais je ne peux pas répondre à cette demande.",0.0
"Oh, sorry.","Oh, désolé.",Je suis désolé,0.0
"I tell you, sometimes I can't take it.","C'est trop dur, parfois.",Je ne peux pas prendre plus.,6.567274736060395
